0x8	b990090000e96659
0x1be	b950000000e9965d
0x40a	b950000000e9965d
0x5b2	b9a8000000e94675
0x635	b9d02f0000e9b6e9
0x651	b908000000e94634
0x65c	b940010000e916b6
0x663	b9b8000000e91636
0x66b	b928000000e976e2
0x8e6	b9a0000000e92646
0x9d3	b928000000e976e2
0x9fc	b910020000e9964f
0xa95	b950000000e9965d
0xca4	b9b8000000e91636
0xf7f	b928000000e976e2
0x101a	b928000000e976e2
0x101d	b928000000e976e2
0x102e	b928000000e976e2
0x102f	b928000000e976e2
0x1033	b960000000e976a7
0x1067	b9a0000000e92646
0x1096	b968000000e9b677
0x1097	b928000000e976e2
0x1098	b928000000e976e2
0x10b0	b928000000e976e2
0x12f6	b938050000e956b5
0x136a	b928000000e976e2
0x143d	b928000000e976e2
0x16a0	b9b0000000e9b6f8
0x187c	b928000000e976e2
0x187f	b928000000e976e2
0x18a6	b960000000e976a7
0x192c	b930000000e9b65e
0x1a59	b928000000e976e2
0x1b88	b970000000e9467a
